additional agronomic information,bean size,breeder,cherry to green bean outturn,coffee berry borer,coffee berry disease,coffee leaf rust,contents of mucilage in the cherry,country of release,description,genetic description,leaf tip color,lineage,name,nematode,nutrition requirement,optimal altitude,planting density,quality potential at high altitude,ripening of fruit,species,stature,type,year of first production,yield potential
"Susceptible to Ojo de Gallo, recommended for acidic soils and soils rich in aluminum, as well as warm climates. In Peru, the recommended elevation is between 800 and 1400 meters.",Average,None,Low,,Susceptible,Resistant,,,"High-yielding variety, resistant to rust, and adapted to warmest zones and acidic soils.",Introgressed (Catimor related),Bronze,Timor Hybrid 832/1 x Caturra,T8667,Susceptible,High,"Low , Medium",5000-6000 plants/ha (using single-stem pruning),Low,Average,Arabica,Dwarf/Compact,,Year 3,High
-,Average,Instituto Salvadoreño de Investigaciones del Café (ISIC),Average,,Susceptible,Susceptible,,,"A variety selected in El Salvador, and known for very good cup quality in the highest altitudes.",Bourbon-Typica group (Bourbon related),Green,A selection of the Bourbon variety,Tekisic,Susceptible,Medium,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Early,Arabica,Tall,,Year 4,Medium
-,Large,None,Average,,Susceptible,Susceptible,,,"One of the most culturally and genetically important C. arabica coffees in the world, with high quality in Central America. Very high susceptibility to coffee leaf rust, well-adapted to the coldest conditions.",Bourbon-Typica group (Typica related),Bronze,"Also called Criollo (Creole), Indio (Indian), Arábigo (Arabica), Plume Hidalgo, Blue Mountain, and Sumatra.",Typica,Susceptible,Medium,High,3000-4000 plants/ha (using single-stem pruning),Very Good,Average,Arabica,Tall,,Year 4,Low
-,Large,Instituto del Café de Costa Rica (ICAFE),Average,,Susceptible,Susceptible,,,Very high susceptibility to coffee leaf rust. Well-adapted to rainy zones due to late harvest during dry season.,Bourbon-Typica group (Bourbon related),Green,A natural mutation of Bourbon,Venecia,Susceptible,High,"Medium , High",5000-6000 plants/ha (using single-stem pruning),Good,Late,Arabica,Dwarf/Compact,,Year 3,Good
Well-adpated to highest altitude conditions and tolerant of strong winds.,Below Average,Instituto del Café de Costa Rica (ICAFE),Average,,Susceptible,Susceptible,,,Well-adpated to highest altitude conditions and tolerant of strong winds.,Bourbon-Typica group (Bourbon related),Green,A natural mutation of Bourbon,Villa Sarchi,Susceptible,High,High,5000-6000 plants/ha (using single-stem pruning),Good,Average,Arabica,Dwarf/Compact,,Year 3,Good
Suitable for wet climates in areas with elevation 400–900 meters above sea level. The plant has short internodes. There is a clear white line on green cherry. This clone is susceptible to Pratylenchus coffeae. Must be planted together with other clones to enable fruit set.,Large (screen size >17),Indonesian Coffee and Cocoa Research Institute (ICCRI),21%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Tolerant,Resistant,Average,Indonesia,Most commonly grown clone by farmers in Indonesia; suitable for cultivation under agroforestry systems.,Congo group,Light Bronze,Individual selection labeled 6 from a Congolensis population.,BP 534,Resistant,Medium,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Tall,Clone,Year 2,1700-2200 kg/ha
"The clone has wide adaptability, but optimal productivity will be achieved in wet climates areas with elevations ranging from 400–900 meters above sea level. This clone is susceptible to Pratylenchus coffeae. Must be planted together with other clones to enable fruit set.",Large (screen size >17),Indonesian Coffee and Cocoa Research Institute (ICCRI),20%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Tolerant,Resistant,Average,Indonesia,"Wide adaptability to different environments, with optimal productivity in areas with wet climates; suitable for cultivation under agroforestry systems.",Congo group,Light Bronze,SA 164-11 x BP 42,BP 936,Resistant,Medium,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Tall,Clone,Year 2,1600-2200 kg/ha
The clone has wide adaptability but optimal productivity will be achieved in dry climate areas with altitudes ranging between 400–900 meters above sea level. This clone is susceptible to Pratylenchus coffeae. Must be planted together with other clones to enable fruit set.,Large (screen size >17),Indonesian Coffee and Cocoa Research Institute (ICCRI),21%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Tolerant,Resistant,Average,Indonesia,Wide adaptability to different environments that produces best in areas with dry climates; suitable for cultivation under agroforestry systems.,Congo group,Light Bronze,BP 42 x SA 1366,BP 939,Resistant,Medium,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Tall,Clone,Year 2,1400-1900 kg/ha
"High yield per hectare when established in full sun with no shade. When in an environment with low water availability in the soil, it shows generalized yellowing. Overall beverage quality score (Specialty Coffee Association) = 79 points. Flavor attributes: Chocolate, cereals, woody. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups II and III, as this variety is from Group I.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,High,Brazil,Adaptable to the environments of the Western Amazon with high productivity. Plant structure suitable for mechanized harvesting. Resistant to nematodes and coffee rust.,Guinea x Congo group,Light Bronze,Robusta 1675 x Encapa 03,BRS 1216,Resistant,High,,2000-3000 plants/ha (using multiple-stem pruning),,Average,Robusta,Dwarf/Compact,Polyclonal,Year 2,7200 kg/ha
"Presents high yield per hectare when established in full sun with no shade. It can present a greater unevenness in the ripening of fruits, caused by irregular flowering in years of greater rain frequency during the dry season. Overall beverage quality score (Specialty Coffee Association) = 70 points. Flavor attributes: Neutral, cereal, herbal. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and III, as this variety is from Group II.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Average,Brazil,Plant structure suitable for mechanized harvesting. Stands out for its tolerance to the root-knot nematode Meloidogyne sp.,Guinea x Congo group,Light Bronze,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 2299,Resistant,High,,2000-3000 plants/ha (using multiple-stem pruning),,Average,Robusta,Dwarf/Compact,Polyclonal,Year 2,6600 kg/ha
"Presents high yield per hectare under irrigation. This cultivar has received 80 points or more in all the cupping events conducted, reaching 87.2 points in one of the samples. Following the Fine Robustas Tasting Protocol developed by the Coffee Quality Institute, it has been classified as a 'Fine Robusta.' Average beverage quality score (Specialty Coffee Association) = 80 points. Flavor attributes: chocolate, caramel, fruit. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and III, as this variety is from Group II.",Small (screen size 14 or below),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Average,Brazil,High cupping scores; has been classified as a 'fine robusta.',Guinea x Congo group,Light Bronze,Robusta 640 X Encapa 03,BRS 2314,Resistant,High,,2000-3000 plants/ha (using multiple-stem pruning),,Late,Robusta,Dwarf/Compact,Polyclonal,Year 2,6600 kg/ha
"Presents high yield per hectare when established in full sun with no shade. Resistant to water stress; however, irrigation is recommended. Leaves demonstrate the behavior of plants under water stress, even in conditions of high water availability. Beverage quality score (Specialty Coffee Association) = 75 points. Flavor attributes: sweet aftertaste, soft. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and III, as this variety is from Group II.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,High,Brazil,"Adaptable to the environments of the Western Amazon, with high productivity and bean size.",Guinea x Congo group,Light Bronze,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 2336,Susceptible,High,,2000-3000 plants/ha (using multiple-stem pruning),,Late,Robusta,Dwarf/Compact,Polyclonal,Year 2,7200 kg/ha
"Presents high yield per hectare when established in full sun with no shade. It has small, narrow leaves that allow good air circulation inside its crown. It is susceptible to the root-knot nematode, and is susceptible to coffee leaf rust. Beverage quality score (Specialty Coffee Association) = 70 points. Flavor attributes: neutral, no attributes worth highlighting. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and III, as this variety is from Group II.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Susceptible,Average,Brazil,"Compact canopy, which allows for densification. Short stems allow one additional harvest before renewal.",Guinea x Congo group,Dark Bronze,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 2357,Susceptible,High,,2000-3000 plants/ha (using multiple-stem pruning),,Late,Robusta,Dwarf/Compact,Polyclonal,Year 2,6000 kg/ha
"Beverage quality score (Speciality Coffee Association) = 70 points. Flavor attributes: neutral. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and II, as this variety is from Group III.",Small (screen size 14 or below),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Tolerant,Average,Brazil,"Recognized for its rusticity, presenting good vegetative and productive characteristics in dry conditions and low-fertility soils.",Guinea x Congo group,Light Bronze,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 3137,Tolerant,Medium,,2000-3000 plants/ha (using multiple-stem pruning),,Early,Robusta,Dwarf/Compact,Polyclonal,Year 2,6600 kg/ha
"Recognized for having the longest length of productive branches among the genotypes studied, and for presenting with a high number of rosettes per branch. Beverage quality score (Specialty Coffee Association) = 75 points. Flavor attributes: chocolate, caramel, almond. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and II, as this variety is from Group III.",Small (screen size 14 or below),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Tolerant,Average,Brazil,"Long primary branches. Production peak in the second or third commercial harvest due to its initial growth, which reduces the biannual production of the crop by compensating for lower yields of other clones.",Guinea x Congo group,Light Bronze,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 3193,Tolerant,High,,2000-3000 plants/ha (using multiple-stem pruning),,Early,Robusta,Dwarf/Compact,Polyclonal,Year 2,6000 kg/ha
"Resistant to water stress, however, irrigation is recommended. Even in conditions of high water availability, its leaves demonstrate the behavior of plants under water stress. Presents high yield per hectare, 120 60-kg bags. Beverage quality score (Specialty Coffee Association) = 75 points. Attributes: Sweet aftertaste, soft. This cultivar is established in full sun with no shade. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and II, as this variety is from Group III.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,High,Brazil,Good adaptability and stability in the environments of the Western Amazon. Good productivity and bean size.,Guinea x Congo group,Green,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 3210,Susceptible,High,,2000-3000 plants/ha (using multiple-stem pruning),,Late,Robusta,Tall,Polyclonal,Year 2,7200 kg/ha
"Presents high yield per hectare when established in full sun with no shade. Resistant to water stress, however, irrigation is recommended. Even in conditions of high water availability, its leaves demonstrate the behavior of plants under water stress. Beverage quality score (Specialty Coffee Association) = 75 points. Flavor atributes: sweet aftertaste, soft. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and II, as this variety is from Group III.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,High,Brazil,Adaptable to the environments of the Western Amazon recognized for good productivity and bean size.,Guinea x Congo group,Green,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 3213,Susceptible,High,,2000-3000 plants/ha (using multiple-stem pruning),,Late,Robusta,Tall,Polyclonal,Year 2,7200 kg/ha
"Presents high yield per hectare when established in full sun with no shade. Resistant to water stress, however, irrigation is recommended. Even in conditions of high water availability, its leaves demonstrate the behavior of plants under water stress. Beverage quality score (Specialty Coffee Association) = 75 points. Flavor attributes: sweet aftertaste, soft. Highest fruit set will occur when planted with other clones in gametophytic compatibility Groups I and II, as this variety is from Group III.",Medium (screen size 15-16),Brazilian Agricultural Research Corporation (EMBRAPA),25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,High,Brazil,"Adaptable to the environments of the Western Amazon, recognized for good productivity and bean size.",Guinea x Congo group,Green,Unknown parents. Natural cross between conilon and robusta plants. These were selected from farmers' fields.,BRS 3220,Susceptible,High,,2000-3000 plants/ha (using multiple-stem pruning),,Late,Robusta,Tall,Polyclonal,Year 2,6600 kg/ha
"Has the tendency to produce more than three productive stems per plant with heavy fruit load. Combined with typical multiplication by rooted cuttings, it means the plant may need to be staked. However, this typically does not become a problem and rather facilitates the harvest. Usually cultivated at 700 meters above sea level. Must be planted together with other clones to enable fruit set.",Medium (screen size 15-16),Nestlé Research/Instituto Nacional de Investigaciones Forestales Agricolas y Pecuarias,Unknown/Desconocido,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Susceptible,Unknown,Tolerant,Low,Mexico,Compact plant grown under the conditions of the Chiapas coast in Mexico. Reduced plant size lends itself to higher yields in dry conditions and differentiates it from any other clone.,Guinea group,Light Bronze,Unknown,INIFAP 00-24,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Dwarf/Compact,Clone,Year 2,Unknown/Desconocido- kg/ha
"This clone does not produce many shoots and, normally, the plant is formed with 1 or 2 productive stems. Susceptible to stem and shoot hole borer and coffee berry disease (CBD). Typically cultivated at 700 meters above sea level. Must be planted together with other clones to enable fruit set.",Medium (screen size 15-16),Nestlé Research/Instituto Nacional de Investigaciones Forestales Agricolas y Pecuarias (INIFAP),Unknown/Desconocido,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Susceptible,Unknown,Tolerant,Low,Mexico,"Tall plants with large and numerous leaves and fruits; highest-yielding clone for the conditions of the coast of Chiapas, Mexico.",Congo group,Green,Unknown,INIFAP 00-28,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Year 2,Unknown/Desconocido- kg/ha
"This clone is preferred by growers in the coastal region of Chiapas, Mexico. Farmers coloquially refer to it as 'improved robusta' due to its fruit size, which is reflected in good production per unit area. It is susceptible to coffee berry borer; no rust damage has been observed. The multiplication is via seed, which does not guarantee homogeneity of the resulting population. Mucilage detaches easily through pulping and fermentation. This clone is typically cultivated at 700 meters above sea level. Must be planted together with other clones to enable fruit set.",Large (screen size >17),Mexican Coffee Institute (INMECAFE)/INIFAP,Unknown/Desconocido,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Tolerant,Average,Mexico,Tall plant with very large fruit. Susceptible to shoot hole borer.,Congo group,Green,Unknown,INIFAP 95-9,Unknown,Medium,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Tall,Clone,Year 2,Unknown/Desconocido- kg/ha
Alternates high and low production years. Susceptible to stem and shoot hole borer and leaf anthracnose. The weight of its production can overwhelm the stems. Typically cultivated at 700 meters above sea level. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),Centre de Recherche Nestlé/INIFAP,Unknown/Desconocido,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Susceptible,Unknown,Tolerant,Low,Mexico,"Tall growth, tendency to form plants with more than three productive stems and good yield of cherries. Very susceptible to stem borers and anthracnose.",Congo group,Dark Bronze,Unknown,INIFAP 97-14,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Very Late,Robusta,Tall,Clone,Year 2,Unknown/Desconocido- kg/ha
"Susceptible to coffee leaf rust, anthracnose, and coffee thread blight. However, it offers a good range of adaptation to different environments. Typically cultivated at 700 meters above sea level. Must be planted together with other clones to enable fruit set.",Medium (screen size 15-16),Centre de Recherche Nestlé/INIFAP,Unknown/Desconocido,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Susceptible,Unknown,Unknown,Low,Mexico,"Tall growth, tendency to form plants with more than three productive stems. Good yield potential, wide range of adaptation to the climatic conditions of the coast of Chiapas and Veracruz, Mexico.",Guinea group,Dark Bronze,Unknown,INIFAP 97-15,Unknown,Medium,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Tall,Clone,Year 2,Unknown/Desconocido- kg/ha
Resistant to wilt and red blister disease. 81 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 1,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,2800 kg/ha
Resistant to wilt and red blister disease. 80 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 10,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,4800 kg/ha
Resistant to wilt and red blister disease. 82 cupping score on the Specialty Coffee Association scale. Weight of green beans is 18-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 2,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,2600 kg/ha
Resistant to wilt and red blister disease. 78 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 3,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,4900 kg/ha
Resistant to wilt and red blister disease. 81 cupping score on the Specialty Coffee Association scale. Weight of green beans is 16g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 4,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Early,Robusta,Tall,Clone,Unknown,2300 kg/ha
Resistant to wilt and red blister disease. 76 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 5,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,2860 kg/ha
Resistant to wilt and red blister disease. 70 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 6,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,2650 kg/ha
Resistant to wilt and red blister disease. 76 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Tolerant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 7,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,3000 kg/ha
Resistant to wilt and red blister disease. 79 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Tolerant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 8,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Early,Robusta,Tall,Clone,Unknown,3100 kg/ha
Resistant to wilt and red blister disease. 79 cupping score on the Specialty Coffee Association scale. Weight of green beans is 19-22g per 100 green beans. Must be planted together with other clones to enable fruit set.,Medium (screen size 15-16),National Coffee Research Institute of Uganda (NACORI),20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Tolerant,Unknown,Uganda,Resistant to coffee wilt disease (CWD).,Uganda group,Green,Hybrid clone of natural cross-pollination,NARO-Kituza Robusta 9,Unknown,High,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Unknown,3900 kg/ha
"It can be grown at altitudes of 500 to 1000 meters above sea level. The bushes are spread out with 50–70 fruits per node in normal clusters, red in color with average cup quality. The fruit is relatively small in size. Yield of up to 1500 kg/ha under rainfed and shaded conditions and up to 2500 kg/ha under intensive cultivation practices including blossom and backing irrigation.",Small (screen size 14 or below),"Central Coffee Research Institute (CCRI), Coffee Board of India",25%,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Susceptible,Unknown,Tolerant,Low,India,"Vigorous, wide-spreading, grow into moderately large trees. High-yielding, beans relatively small in size.",Congo group,Green or Bronze,Unknown,Perdenia,Tolerant,Medium,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Tall,Clone,Year 4,1500-3000 kg/ha
Plant with other clones for fruit set.,Medium (screen size 15-16),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,"Mexico , The Philippines",Combines excellent yield and cup quality. Very high acceptance among farmers.,Unknown,Not applicable,Unknown,Roubi 1,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Medium (screen size 15-16),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Nicaragua,High productivity and high cup quality.,Unknown,Not applicable,Unknown,Roubi 10,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Large (screen size >17),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,"Mexico , The Philippines",Combines excellent yield and cup quality. Very high acceptance among farmers.,Unknown,Not applicable,Unknown,Roubi 2,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Large (screen size >17),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Thailand,High productivity in combination with large bean size.,Unknown,Not applicable,Unknown,Roubi 4,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Large (screen size >17),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Thailand,High produtivity in combination with large bean size.,Unknown,Not applicable,Unknown,Roubi 5,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Medium (screen size 15-16),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Nicaragua,High productivity and high cup quality.,Unknown,Not applicable,Unknown,Roubi 6,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Small (screen size 14 or below),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Nicaragua,Very good cup quality and high productivity.,Unknown,Not applicable,Unknown,Roubi 7,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Medium (screen size 15-16),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Nicaragua,High productivity and high cup quality.,Unknown,Not applicable,Unknown,Roubi 8,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
Plant with other clones for fruit set.,Small (screen size 14 or below),Nestlé Research,18-21%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Unknown,Resistant,Unknown,Nicaragua,High productivity and high cup quality.,Unknown,Not applicable,Unknown,Roubi 9,Unknown,Medium,,,,Unknown,Robusta,Not applicable,Clone,Year 2,Medium-High kg/ha
This clone is suitable for cultivation in dry climate areas and will perform best in the altitude range of 400–900 meters above sea level. This clone is susceptible to Pratylenchus coffeae. Must be planted together with other clones to enable fruit set.,Large (screen size >17),Indonesian Coffee and Cocoa Research Institute (ICCRI),Unknown,Susceptible SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Unknown,Tolerant,Resistant,Average,Indonesia,Suitable for cultivation under agroforestry systems in areas with dry climates.,Congo group,Light Bronze,The genetic composition of this clone is close to the 'R' group of robusta species.,SA 237,Susceptible,Medium,,1000-2000 plants/ha (using single-stem pruning),,Average,Robusta,Tall,Clone,Year 2,800-2100 kg/ha
"This variety is composed of two clones—S.270 and S.274—which are required to be planted together, because separate planting will reduce fruit sets.These two genotypes have recorded yields of nearly 1000 kg/ha on an average over 35 years of testing in rain-fed conditions. The planting density for this variety is 3m x 3m.",Medium (screen size 15-16),"Central Coffee Research Institute (CCRI), Coffee Board of India",20%,Unknown SHOOT HOLE BORER ( XYLOSANDUS COMPACTUS ) Tolerant,Unknown,Tolerant,Unknown,India,Plants that are very vigorous and grow into moderately large trees.,Guinea x Coffea congensis group,Green,Coffea congensis x Coffea canephora and recurrent back cross to Robusta. Selection from BC2.,Sln.1R,Tolerant,Unknown,,1000-2000 plants/ha (using single-stem pruning),,Late,Robusta,Dwarf/Compact,Polyclonal,Unknown,1500-3000 kg/ha
